# RadCal SD array, extracted from FDS Source/rcal.f90.
# source: https://raw.githubusercontent.com/firemodels/fds/61bd9cc6317ea4f47f46de3d52268e858f0ca8b0/Source/rcal.f90
# retrieved: 2026-09-22
# reference: W. L. Grosshandler (1993), 'RadCal: A Narrow-Band Model for Radiation Calculations in a Combustion Environment', NIST Technical Note 1402; as implemented in FDS Source/rcal.f90
# licence: public domain (a work of the US federal government).
# STATUS: REFERENCE DATA -- transcribed, not modelled and not measured here.
# note: H2O narrow-band mean absorption coefficient. RadCal's H2O routine is a bilinear interpolation in this table over (temperature, wavenumber) and nothing else.
# units: cm-1 per atm of partial pressure, referred to STP density (NASA SP-3080).
wavenumber_cm-1,k_300K,k_600K,k_1000K,k_1500K,k_2000K,k_2500K
3625,0.442,0.4,0.354,0.279,0.233,0.216
3650,0.473,0.405,0.347,0.281,0.238,0.219
3675,0.568,0.501,0.423,0.315,0.243,0.218
3700,0.69,0.708,0.673,0.432,0.268,0.189
3725,0.617,0.831,0.566,0.32,0.194,0.123
3750,1.81,0.52,0.2,0.131,0.124,0.107
3775,0.136,0.124,0.12,0.119,0.115,0.115
3800,0.455,0.298,0.167,0.129,0.123,0.112
3825,0.76,0.503,0.242,0.154,0.129,0.127
3850,0.836,0.584,0.277,0.184,0.161,0.145
3875,0.84,0.728,0.422,0.236,0.197,0.167
3900,0.505,0.5,0.379,0.276,0.227,0.192
3925,0.117,0.4,0.423,0.315,0.243,0.202
3950,0.046,0.3,0.358,0.29,0.23,0.202
3975,0.0183,0.205,0.269,0.235,0.195,0.192
4000,0.0073,0.135,0.186,0.179,0.159,0.168
4025,0.00557,0.079,0.113,0.124,0.124,0.134
4050,0.00283,0.0415,0.0662,0.0886,0.103,0.106
4075,0.00226,0.0197,0.0367,0.0594,0.0801,0.0879
4100,0.00155,0.0086,0.0211,0.0395,0.0503,0.061
4125,0.00103,0.00521,0.0119,0.0246,0.0354,0.048
4150,0.000821,0.00365,0.00759,0.0166,0.0258,0.037
4175,0.000752,0.00183,0.00445,0.01,0.0179,0.0268
4200,0.000429,0.00141,0.00354,0.00821,0.0142,0.0212
4225,0.000327,0.000902,0.00209,0.00588,0.0112,0.0172
4250,0.000225,0.000685,0.00189,0.00512,0.0101,0.0164
4275,0.000186,0.000551,0.00156,0.00366,0.00812,0.0136
4300,0.000173,0.000472,0.00139,0.00306,0.00661,0.0115
4325,0.000138,0.000395,0.0011,0.00272,0.00587,0.0104
4350,9e-05,0.00027,0.000968,0.00222,0.00497,0.00921
4375,7.52e-05,0.000233,0.000744,0.00208,0.00466,0.00876
4400,6.18e-05,0.000175,0.000638,0.00185,0.00465,0.00914
4425,5.04e-05,0.000134,0.000499,0.00174,0.00455,0.00935
4450,3.75e-05,0.000123,0.000485,0.00182,0.00456,0.00971
4475,3.05e-05,8.92e-05,0.000338,0.00134,0.0046,0.0104
4500,2.57e-05,7.9e-05,0.000329,0.00154,0.00477,0.0112
4525,2.42e-05,7.4e-05,0.000308,0.00135,0.00497,0.0122
4550,2.15e-05,6.53e-05,0.000282,0.00131,0.00521,0.0133
4575,2.18e-05,6.6e-05,0.000272,0.00152,0.00573,0.0148
4600,2.15e-05,6.71e-05,0.000268,0.00134,0.00607,0.0159
4625,2.17e-05,6.95e-05,0.000285,0.00161,0.00677,0.0173
4650,2.19e-05,7.22e-05,0.000297,0.00169,0.00783,0.0197
4675,2.26e-05,7.71e-05,0.000341,0.00236,0.00925,0.0226
4700,2.5e-05,8.15e-05,0.000387,0.00286,0.0106,0.025
4725,2.8e-05,8.45e-05,0.00042,0.00357,0.0124,0.0276
4750,3.51e-05,0.000192,0.00047,0.00467,0.0166,0.0313
4775,4.35e-05,0.0002,0.00105,0.00566,0.0185,0.0341
4800,5.22e-05,0.000233,0.00129,0.00736,0.0229,0.0378
4825,6.73e-05,0.000306,0.00183,0.00982,0.0258,0.0404
4850,8.86e-05,0.000399,0.00246,0.0128,0.0302,0.043
4875,0.000113,0.000618,0.00346,0.0161,0.0358,0.0459
4900,0.000174,0.000825,0.00441,0.02,0.0417,0.0493
4925,0.000265,0.00163,0.00777,0.0245,0.045,0.0507
4950,0.000355,0.002,0.00978,0.0317,0.0492,0.0527
4975,0.000538,0.00271,0.0167,0.0401,0.0503,0.0523
5000,0.000651,0.00301,0.0264,0.0467,0.052,0.0526
5025,0.000987,0.0053,0.0321,0.0499,0.0523,0.051
5050,0.00135,0.0086,0.0389,0.0528,0.0513,0.0492
5075,0.00226,0.013,0.0472,0.0559,0.05,0.0469
5100,0.00431,0.0198,0.0526,0.0557,0.048,0.0452
5125,0.00628,0.0282,0.0488,0.0495,0.0451,0.043
5150,0.009,0.039,0.0471,0.0449,0.043,0.0423
5175,0.018,0.0462,0.0412,0.0391,0.0403,0.0415
5200,0.0348,0.071,0.0402,0.036,0.0384,0.0414
5225,0.0718,0.059,0.0399,0.036,0.0376,0.042
5250,0.111,0.0368,0.034,0.0369,0.0409,0.0454
5275,0.0329,0.0285,0.0365,0.0423,0.0461,0.0482
5300,0.0281,0.027,0.0432,0.0505,0.0529,0.0511
5325,0.121,0.0422,0.0589,0.0598,0.0572,0.0544
5350,0.139,0.105,0.0844,0.0687,0.0593,0.056
5375,0.0774,0.071,0.0683,0.0618,0.0556,0.0534
5400,0.0858,0.0483,0.0579,0.0547,0.0503,0.0495
5425,0.0985,0.0575,0.0589,0.051,0.0451,0.0449
5450,0.0996,0.0682,0.0539,0.0489,0.0454,0.0446
5475,0.068,0.068,0.0548,0.0495,0.046,0.0458
5500,0.0325,0.052,0.0515,0.0483,0.0449,0.0454
5525,0.015,0.035,0.0451,0.0464,0.0452,0.0449
5550,0.0062,0.0238,0.0369,0.0408,0.0414,0.0417
5575,0.0027,0.0158,0.0282,0.0339,0.0366,0.0384
5600,0.00113,0.0101,0.0203,0.0263,0.0303,0.0333
5625,0.000829,0.0059,0.0148,0.0206,0.0247,0.0295
5650,0.000365,0.0031,0.00969,0.0154,0.0203,0.0258
5675,0.00024,0.0013,0.00589,0.0112,0.0164,0.0222
5700,0.000158,0.0004,0.00417,0.0085,0.0134,0.019
5725,0.000103,0.000262,0.00208,0.00594,0.0109,0.0162
5750,7.41e-05,0.000181,0.00142,0.00455,0.00907,0.0141
5775,6.25e-05,0.000135,0.000816,0.00316,0.00698,0.0121
5800,4.99e-05,0.000111,0.000624,0.0023,0.00551,0.0102
5825,3.25e-05,6.77e-05,0.000425,0.00124,0.00385,0.00818
5850,2.31e-05,5.63e-05,0.000278,0.000986,0.0029,0.00672
5875,1.65e-05,4.81e-05,0.000247,0.000944,0.00253,0.00612
5900,1.26e-05,4.32e-05,0.000241,0.000886,0.0022,0.00582
5925,1.18e-05,4.2e-05,0.000235,0.000847,0.00209,0.00571
5950,1.1e-05,4.08e-05,0.000226,0.000812,0.00221,0.00604
5975,1.01e-05,4e-05,0.000213,0.000805,0.00239,0.00641
6000,9.83e-06,3.95e-05,0.000186,0.000801,0.00247,0.00691
6025,9.79e-06,4.01e-05,0.000193,0.000805,0.0026,0.00732
6050,9.76e-06,4.1e-05,0.000201,0.000814,0.00285,0.00776
6075,9.88e-06,4.2e-05,0.00021,0.000832,0.00317,0.00842
6100,9.91e-06,4.25e-05,0.000219,0.000877,0.0034,0.00888
6125,1.02e-05,4.35e-05,0.000231,0.000937,0.00361,0.00929
6150,1.1e-05,4.86e-05,0.000244,0.000971,0.00402,0.00994
6175,1.27e-05,5.79e-05,0.000257,0.00111,0.00437,0.0104
6200,1.31e-05,6.12e-05,0.000277,0.00113,0.00465,0.011
6225,1.5e-05,7.83e-05,0.000353,0.00116,0.0051,0.0116
6250,1.78e-05,9.22e-05,0.000394,0.00157,0.00555,0.0123
6275,2.03e-05,0.000115,0.000481,0.00188,0.00601,0.0131
6300,2.3e-05,0.000145,0.000617,0.00183,0.00644,0.0139
6325,2.8e-05,0.000187,0.000723,0.00202,0.00686,0.0146
6350,3.05e-05,0.000209,0.000811,0.00243,0.00779,0.0157
6375,4.55e-05,0.000244,0.000935,0.00243,0.00844,0.0166
6400,6.61e-05,0.00032,0.000989,0.00288,0.00902,0.0173
6425,7.23e-05,0.000397,0.00122,0.00359,0.01,0.0184
6450,8.47e-05,0.000481,0.00143,0.00429,0.0108,0.0192
6475,0.000103,0.000591,0.00174,0.00488,0.0116,0.02
6500,0.000131,0.000703,0.00247,0.00549,0.0124,0.0205
6525,0.000165,0.000872,0.00265,0.00641,0.0131,0.0211
6550,0.000205,0.0011,0.00298,0.00749,0.014,0.0218
6575,0.000253,0.0013,0.00346,0.00811,0.015,0.023
6600,0.000338,0.0015,0.00445,0.0089,0.0159,0.0237
6625,0.000437,0.0017,0.00491,0.0107,0.017,0.0245
6650,0.000581,0.0019,0.00537,0.0116,0.0179,0.0254
6675,0.000685,0.0022,0.00578,0.0128,0.0189,0.0263
6700,0.0009,0.0025,0.00649,0.0134,0.0195,0.0275
6725,0.00121,0.0028,0.00722,0.0142,0.0202,0.0281
6750,0.00152,0.0033,0.00813,0.0161,0.0212,0.0288
6775,0.00185,0.0037,0.00907,0.0168,0.0222,0.0292
6800,0.0022,0.0043,0.00929,0.0183,0.0233,0.0294
6825,0.00255,0.005,0.0114,0.0195,0.0245,0.0289
6850,0.0029,0.0058,0.0167,0.0215,0.026,0.0291
6875,0.0032,0.0067,0.0208,0.0237,0.0274,0.0293
6900,0.0036,0.0088,0.022,0.0253,0.0282,0.03
6925,0.004,0.0092,0.0238,0.0273,0.029,0.0304
6950,0.0046,0.0108,0.0272,0.0279,0.0298,0.031
6975,0.0053,0.0128,0.0304,0.0292,0.0297,0.0312
7000,0.0062,0.0152,0.0344,0.0303,0.0293,0.031
7025,0.0076,0.0182,0.0341,0.0297,0.029,0.03
7050,0.0098,0.0222,0.0398,0.0318,0.0291,0.0294
7075,0.0132,0.0271,0.0402,0.0294,0.0274,0.0282
7100,0.019,0.0335,0.0421,0.0286,0.0262,0.0269
7125,0.024,0.0432,0.0431,0.0276,0.0245,0.0257
7150,0.0288,0.057,0.0458,0.027,0.0228,0.0243
7175,0.0323,0.074,0.0449,0.0261,0.0214,0.0221
7200,0.057,0.089,0.0435,0.0225,0.0199,0.0196
7225,0.0216,0.068,0.0378,0.0239,0.0195,0.0192
7250,0.0126,0.0475,0.0364,0.0238,0.0197,0.0192
7275,0.0117,0.0369,0.0385,0.0249,0.0212,0.0204
7300,0.014,0.037,0.0419,0.0272,0.0228,0.0213
7325,0.0425,0.0418,0.044,0.028,0.0248,0.0229
7350,0.064,0.046,0.0427,0.029,0.0263,0.0238
7375,0.0385,0.0385,0.0374,0.0259,0.0235,0.0224
7400,0.0182,0.0179,0.0282,0.0231,0.0211,0.0214
7425,0.017,0.0081,0.0191,0.0175,0.0181,0.0194
7450,0.0161,0.0037,0.0105,0.0127,0.0152,0.0171
7475,0.0145,0.0017,0.00554,0.00855,0.0113,0.0131
7500,0.00175,0.0014,0.00385,0.00595,0.00803,0.00945
7525,0.000772,0.000751,0.00384,0.00575,0.00537,0.00594
7550,0.000491,0.0006,0.00301,0.00453,0.0038,0.00434
7575,0.000275,0.00041,0.00193,0.00366,0.00319,0.00332
7600,0.0185,0.00028,0.00131,0.00232,0.00247,0.00256
7625,0.000101,0.00016,0.000915,0.0015,0.00186,0.00197
7650,6.91e-05,0.00011,0.000565,0.00114,0.00205,0.00192
